N W
55.581718 38.080748 55
55.582197 38.078960 55
55.581651 38.077662 55
55.578868 38.073113 55
55.578304 38.074990 55
55.580360 38.080247 55
55.580244 38.075913 55
55.579456 38.078091 55
55.580257 38.083037 55
55.580705 38.078198 55
55.581779 38.079818 55
55.580881 38.081395 55
55.580463 38.080945 55
55.580905 38.079786 55
55.581045 38.082264 55
55.579304 38.079528 55
55.579759 38.075516 55
55.578546 38.073477 55
55.578668 38.076771 55
55.580209 38.077448 55
55.581336 38.077694 55
55.581482 38.079282 55
55.581190 38.080945 55
55.580087 38.081803 55
55.581069 38.078778 55
55.581718 38.080748 55
